pX pY pZ 
1.118307e-13 0.000000e+00 0.000000e+00
8.098432e-14 0.000000e+00 0.000000e+00
-4.991829e-13 0.000000e+00 0.000000e+00
-5.294552e-13 0.000000e+00 0.000000e+00
1.844192e-13 0.000000e+00 0.000000e+00
6.513901e-14 0.000000e+00 0.000000e+00
-1.010301e-13 0.000000e+00 0.000000e+00
-4.335327e-14 0.000000e+00 0.000000e+00
8.209623e-14 0.000000e+00 0.000000e+00
-1.896919e-13 0.000000e+00 0.000000e+00
1.893269e-13 0.000000e+00 0.000000e+00
2.413193e-13 0.000000e+00 0.000000e+00
-1.263784e-13 0.000000e+00 0.000000e+00
1.677275e-13 0.000000e+00 0.000000e+00
1.766011e-14 0.000000e+00 0.000000e+00
1.793430e-13 0.000000e+00 0.000000e+00
1.247256e-13 0.000000e+00 0.000000e+00
8.253384e-14 0.000000e+00 0.000000e+00
1.339302e-13 0.000000e+00 0.000000e+00
3.948434e-13 0.000000e+00 0.000000e+00
8.984633e-14 0.000000e+00 0.000000e+00
1.531995e-14 0.000000e+00 0.000000e+00
-9.615307e-14 0.000000e+00 0.000000e+00
-1.666937e-14 0.000000e+00 0.000000e+00
-1.890377e-13 0.000000e+00 0.000000e+00
-2.601568e-13 0.000000e+00 0.000000e+00
-2.914277e-14 0.000000e+00 0.000000e+00
7.098183e-14 0.000000e+00 0.000000e+00
6.520053e-14 0.000000e+00 0.000000e+00
2.498477e-13 0.000000e+00 0.000000e+00
-8.555836e-14 0.000000e+00 0.000000e+00
-1.142126e-13 0.000000e+00 0.000000e+00
-3.048920e-14 0.000000e+00 0.000000e+00
-1.651556e-13 0.000000e+00 0.000000e+00
-1.359331e-13 0.000000e+00 0.000000e+00
-1.869091e-13 0.000000e+00 0.000000e+00
-5.708761e-15 0.000000e+00 0.000000e+00
5.467333e-14 0.000000e+00 0.000000e+00
6.108503e-15 0.000000e+00 0.000000e+00
2.075343e-13 0.000000e+00 0.000000e+00
7.985970e-14 0.000000e+00 0.000000e+00
-2.085146e-13 0.000000e+00 0.000000e+00
-1.953285e-13 0.000000e+00 0.000000e+00
-1.003456e-13 0.000000e+00 0.000000e+00
1.341432e-13 0.000000e+00 0.000000e+00
-1.469237e-13 0.000000e+00 0.000000e+00
3.028725e-14 0.000000e+00 0.000000e+00
8.795562e-14 0.000000e+00 0.000000e+00
-5.898285e-14 0.000000e+00 0.000000e+00
2.242753e-13 0.000000e+00 0.000000e+00
1.182657e-13 0.000000e+00 0.000000e+00
-1.904360e-13 0.000000e+00 0.000000e+00
6.427146e-14 0.000000e+00 0.000000e+00
2.556166e-14 0.000000e+00 0.000000e+00
-1.401015e-13 0.000000e+00 0.000000e+00
6.655765e-14 0.000000e+00 0.000000e+00
3.597371e-13 0.000000e+00 0.000000e+00
2.541882e-14 0.000000e+00 0.000000e+00
-3.713730e-14 0.000000e+00 0.000000e+00
1.157917e-13 0.000000e+00 0.000000e+00
-9.978536e-14 0.000000e+00 0.000000e+00
-2.719829e-14 0.000000e+00 0.000000e+00
-7.971837e-14 0.000000e+00 0.000000e+00
3.404254e-13 0.000000e+00 0.000000e+00
6.294225e-13 0.000000e+00 0.000000e+00
-3.518611e-13 0.000000e+00 0.000000e+00
1.325814e-13 0.000000e+00 0.000000e+00
-9.688628e-14 0.000000e+00 0.000000e+00
1.594528e-13 0.000000e+00 0.000000e+00
2.809174e-13 0.000000e+00 0.000000e+00
-4.640102e-13 0.000000e+00 0.000000e+00
2.293975e-13 0.000000e+00 0.000000e+00
3.500671e-13 0.000000e+00 0.000000e+00
-3.940011e-13 0.000000e+00 0.000000e+00
3.293331e-14 0.000000e+00 0.000000e+00
-3.155057e-13 0.000000e+00 0.000000e+00
