pX pY pZ 
1.326171e-13 0.000000e+00 0.000000e+00
-4.289492e-14 0.000000e+00 0.000000e+00
2.214387e-13 0.000000e+00 0.000000e+00
1.711936e-13 0.000000e+00 0.000000e+00
2.788719e-14 0.000000e+00 0.000000e+00
-1.101835e-13 0.000000e+00 0.000000e+00
-2.167800e-13 0.000000e+00 0.000000e+00
1.695637e-13 0.000000e+00 0.000000e+00
8.649837e-14 0.000000e+00 0.000000e+00
-7.088358e-14 0.000000e+00 0.000000e+00
-3.356943e-14 0.000000e+00 0.000000e+00
2.088166e-13 0.000000e+00 0.000000e+00
-1.045554e-14 0.000000e+00 0.000000e+00
1.041834e-13 0.000000e+00 0.000000e+00
-1.805571e-14 0.000000e+00 0.000000e+00
2.178650e-15 0.000000e+00 0.000000e+00
-1.622730e-13 0.000000e+00 0.000000e+00
6.638935e-14 0.000000e+00 0.000000e+00
-1.180556e-13 0.000000e+00 0.000000e+00
1.765329e-13 0.000000e+00 0.000000e+00
-6.785831e-14 0.000000e+00 0.000000e+00
3.420318e-13 0.000000e+00 0.000000e+00
-6.927484e-14 0.000000e+00 0.000000e+00
-7.467072e-14 0.000000e+00 0.000000e+00
1.855991e-13 0.000000e+00 0.000000e+00
2.634395e-13 0.000000e+00 0.000000e+00
6.557377e-14 0.000000e+00 0.000000e+00
-3.974917e-14 0.000000e+00 0.000000e+00
3.699898e-14 0.000000e+00 0.000000e+00
-3.288422e-13 0.000000e+00 0.000000e+00
-3.728464e-14 0.000000e+00 0.000000e+00
-2.068790e-13 0.000000e+00 0.000000e+00
8.491956e-14 0.000000e+00 0.000000e+00
-9.300716e-14 0.000000e+00 0.000000e+00
-1.231869e-13 0.000000e+00 0.000000e+00
1.635231e-13 0.000000e+00 0.000000e+00
-1.736814e-14 0.000000e+00 0.000000e+00
-1.643380e-13 0.000000e+00 0.000000e+00
-1.188395e-13 0.000000e+00 0.000000e+00
5.557013e-14 0.000000e+00 0.000000e+00
9.669351e-14 0.000000e+00 0.000000e+00
6.611616e-14 0.000000e+00 0.000000e+00
-1.597110e-13 0.000000e+00 0.000000e+00
