step K U E temp
0 1.910539e-19 4.764852e-17 4.783957e-17 2.767595e+04
1000 1.066181e-17 3.333830e-17 4.400011e-17 1.544464e+06
2000 2.746626e-17 1.301956e-17 4.048582e-17 3.978746e+06
3000 3.630406e-17 8.454436e-19 3.714951e-17 5.258985e+06
4000 3.128205e-17 3.036083e-18 3.431813e-17 4.531499e+06
5000 1.672042e-17 1.487814e-17 3.159856e-17 2.422110e+06
6000 3.665482e-18 2.540149e-17 2.906697e-17 5.309795e+05
7000 2.264821e-19 2.652962e-17 2.675610e-17 3.280807e+04
8000 6.705468e-18 1.798571e-17 2.469118e-17 9.713502e+05
9000 1.617649e-17 6.546252e-18 2.272274e-17 2.343317e+06
10000 2.073859e-17 2.736865e-19 2.101227e-17 3.004179e+06
11000 1.732729e-17 2.114581e-18 1.944187e-17 2.510021e+06
12000 8.959581e-18 9.016161e-18 1.797574e-17 1.297880e+06
13000 1.811463e-18 1.484560e-17 1.665706e-17 2.624075e+05
14000 2.088589e-19 1.508967e-17 1.529853e-17 3.025518e+04
15000 4.231322e-18 9.979826e-18 1.421115e-17 6.129468e+05
16000 9.618730e-18 3.469536e-18 1.308827e-17 1.393364e+06
17000 1.194841e-17 8.293746e-20 1.203135e-17 1.730840e+06
18000 9.578262e-18 1.411358e-18 1.098962e-17 1.387501e+06
19000 4.645686e-18 5.388808e-18 1.003449e-17 6.729713e+05
20000 7.733724e-19 8.475450e-18 9.248822e-18 1.120303e+05
21000 2.128663e-19 8.297016e-18 8.509883e-18 3.083569e+04
22000 2.575099e-18 5.219623e-18 7.794722e-18 3.730274e+05
23000 5.499882e-18 1.687197e-18 7.187078e-18 7.967096e+05
24000 6.550546e-18 1.161674e-20 6.562163e-18 9.489083e+05
25000 5.133745e-18 9.285196e-19 6.062264e-18 7.436712e+05
26000 2.420566e-18 3.206213e-18 5.626779e-18 3.506418e+05
27000 3.535795e-19 4.856665e-18 5.210245e-18 5.121932e+04
28000 1.750687e-19 4.589035e-18 4.764104e-18 2.536035e+04
29000 1.645072e-18 2.798052e-18 4.443123e-18 2.383041e+05
30000 3.214175e-18 8.125755e-19 4.026750e-18 4.656034e+05
31000 3.688246e-18 1.462767e-22 3.688393e-18 5.342772e+05
32000 2.741908e-18 6.236381e-19 3.365546e-18 3.971911e+05
33000 1.200619e-18 1.852225e-18 3.052844e-18 1.739209e+05
34000 1.393431e-19 2.705386e-18 2.844729e-18 2.018516e+04
35000 1.200252e-19 2.496657e-18 2.616682e-18 1.738679e+04
36000 9.420580e-19 1.465566e-18 2.407624e-18 1.364660e+05
37000 1.851872e-18 3.974978e-19 2.249370e-18 2.682611e+05
38000 2.027515e-18 3.687253e-22 2.027884e-18 2.937046e+05
39000 1.485218e-18 4.015694e-19 1.886788e-18 2.151478e+05
40000 6.064739e-19 1.134151e-18 1.740624e-18 8.785345e+04
41000 5.291255e-20 1.602154e-18 1.655067e-18 7.664880e+03
42000 1.027688e-19 1.367422e-18 1.470190e-18 1.488703e+04
43000 5.832340e-19 7.809454e-19 1.364179e-18 8.448693e+04
44000 1.063194e-18 1.939608e-19 1.257155e-18 1.540136e+05
45000 1.122791e-18 2.797529e-21 1.125588e-18 1.626468e+05
46000 7.921723e-19 2.548617e-19 1.047034e-18 1.147536e+05
47000 3.002248e-19 5.907122e-19 8.909371e-19 4.349039e+04
48000 1.638143e-20 8.487728e-19 8.651542e-19 2.373004e+03
49000 7.784313e-20 7.266423e-19 8.044855e-19 1.127631e+04
50000 3.356853e-19 3.454739e-19 6.811591e-19 4.862717e+04
51000 5.398034e-19 7.637174e-20 6.161752e-19 7.819561e+04
52000 5.433819e-19 5.990121e-21 5.493720e-19 7.871398e+04
53000 3.657592e-19 1.382053e-19 5.039645e-19 5.298366e+04
54000 1.442106e-19 3.226769e-19 4.668875e-19 2.089027e+04
55000 8.859894e-21 3.963964e-19 4.052562e-19 1.283439e+03
56000 3.054727e-20 3.331449e-19 3.636922e-19 4.425059e+03
57000 1.565735e-19 1.690007e-19 3.255742e-19 2.268115e+04
58000 2.397968e-19 2.531446e-20 2.651113e-19 3.473682e+04
59000 2.534729e-19 8.653011e-21 2.621259e-19 3.671794e+04
60000 1.478442e-19 7.419717e-20 2.220414e-19 2.141663e+04
61000 4.855663e-20 1.265876e-19 1.751442e-19 7.033885e+03
62000 3.393521e-21 1.564086e-19 1.598021e-19 4.915834e+02
63000 1.310823e-20 1.400809e-19 1.531892e-19 1.898851e+03
64000 7.294641e-20 8.257758e-20 1.555240e-19 1.056697e+04
65000 1.300430e-19 1.841278e-20 1.484558e-19 1.883795e+04
66000 1.193440e-19 1.826509e-22 1.195267e-19 1.728810e+04
67000 8.325248e-20 2.847504e-20 1.117275e-19 1.205990e+04
68000 2.443363e-20 6.617727e-20 9.061090e-20 3.539442e+03
69000 1.874371e-21 8.077431e-20 8.264868e-20 2.715203e+02
70000 5.866261e-21 6.693531e-20 7.280157e-20 8.497831e+02
71000 2.711433e-20 4.209058e-20 6.920491e-20 3.927765e+03
72000 5.010270e-20 9.826619e-21 5.992931e-20 7.257847e+03
73000 5.969323e-20 1.763925e-25 5.969341e-20 8.647126e+03
74000 4.379302e-20 9.558250e-21 5.335127e-20 6.343832e+03
75000 1.723510e-20 2.348338e-20 4.071848e-20 2.496667e+03
76000 5.931066e-22 3.252527e-20 3.311838e-20 8.591708e+01
77000 6.343376e-21 3.432417e-20 4.066754e-20 9.188977e+02
78000 2.455893e-20 1.878559e-20 4.334452e-20 3.557592e+03
79000 3.265485e-20 3.656995e-21 3.631185e-20 4.730363e+03
80000 3.546499e-20 7.594932e-22 3.622448e-20 5.137437e+03
81000 2.182557e-20 6.533319e-21 2.835889e-20 3.161640e+03
82000 9.335818e-21 1.579651e-20 2.513233e-20 1.352381e+03
83000 2.549689e-21 2.641542e-20 2.896511e-20 3.693464e+02
84000 5.809381e-22 3.373119e-20 3.431213e-20 8.415434e+01
85000 1.328423e-20 2.794500e-20 4.122923e-20 1.924346e+03
86000 2.983154e-20 7.127680e-21 3.695922e-20 4.321379e+03
87000 4.244997e-20 1.781968e-22 4.262816e-20 6.149277e+03
88000 3.135123e-20 4.367178e-21 3.571841e-20 4.541520e+03
89000 1.258521e-20 1.173502e-20 2.432023e-20 1.823086e+03
90000 2.031117e-21 1.670432e-20 1.873544e-20 2.942265e+02
91000 2.139900e-22 1.837014e-20 1.858413e-20 3.099846e+01
92000 4.669571e-21 1.279612e-20 1.746569e-20 6.764313e+02
93000 7.388903e-21 2.189937e-21 9.578840e-21 1.070352e+03
94000 1.155639e-20 3.726548e-22 1.192905e-20 1.674052e+03
95000 1.160010e-20 5.386690e-22 1.213877e-20 1.680384e+03
96000 5.603113e-21 2.814831e-21 8.417945e-21 8.116637e+02
97000 2.478091e-21 3.365570e-21 5.843661e-21 3.589747e+02
98000 8.604085e-22 6.216160e-21 7.076568e-21 1.246383e+02
99000 3.793070e-24 7.761950e-21 7.765743e-21 5.494619e-01
100000 1.546307e-21 3.249729e-21 4.796036e-21 2.239971e+02
101000 2.358228e-21 1.487312e-21 3.845540e-21 3.416115e+02
102000 2.897443e-21 4.236270e-23 2.939805e-21 4.197218e+02
103000 2.275887e-21 4.230576e-22 2.698945e-21 3.296837e+02
104000 8.637887e-22 1.675143e-21 2.538932e-21 1.251279e+02
105000 4.343083e-22 1.741891e-21 2.176199e-21 6.291364e+01
106000 9.219691e-22 2.495237e-21 3.417206e-21 1.335559e+02
107000 7.485105e-22 2.392272e-21 3.140783e-21 1.084288e+02
