step K U E temp
0 1.854686e-19 4.764897e-17 4.783444e-17 2.686687e+04
1000 1.039290e-21 1.154342e-21 2.193632e-21 1.505509e+02
2000 1.161941e-21 3.497622e-21 4.659564e-21 1.683181e+02
3000 4.357980e-21 2.738288e-21 7.096268e-21 6.312945e+02
4000 1.022365e-20 8.620450e-22 1.108570e-20 1.480992e+03
5000 1.148920e-21 1.454140e-22 1.294334e-21 1.664319e+02
6000 3.267695e-21 4.931072e-21 8.198766e-21 4.733563e+02
7000 1.527862e-21 1.105833e-21 2.633694e-21 2.213251e+02
8000 4.993572e-22 5.481226e-21 5.980583e-21 7.233659e+01
9000 4.939875e-21 2.195653e-21 7.135528e-21 7.155874e+02
10000 1.376714e-22 4.860530e-22 6.237244e-22 1.994300e+01
11000 3.845053e-23 2.026114e-21 2.064564e-21 5.569921e+00
12000 1.282194e-21 1.775701e-21 3.057895e-21 1.857379e+02
13000 1.129482e-21 3.138736e-21 4.268218e-21 1.636161e+02
14000 5.554912e-23 2.424805e-21 2.480355e-21 8.046813e+00
15000 6.555588e-21 5.367639e-21 1.192323e-20 9.496386e+02
16000 8.199024e-22 8.138439e-22 1.633746e-21 1.187706e+02
17000 1.544428e-22 2.868715e-21 3.023158e-21 2.237249e+01
18000 4.794063e-22 1.614978e-20 1.662918e-20 6.944651e+01
19000 2.813115e-21 2.588711e-21 5.401826e-21 4.075062e+02
20000 1.396258e-23 1.587358e-21 1.601320e-21 2.022612e+00
21000 3.347039e-21 3.088505e-21 6.435545e-21 4.848501e+02
22000 1.564182e-21 2.331172e-21 3.895354e-21 2.265865e+02
23000 4.699063e-22 1.664830e-21 2.134737e-21 6.807036e+01
24000 3.348898e-21 1.161294e-21 4.510192e-21 4.851193e+02
25000 9.060549e-22 4.702024e-22 1.376257e-21 1.312506e+02
26000 1.955319e-23 2.295918e-22 2.491450e-22 2.832463e+00
27000 1.905451e-22 2.297152e-22 4.202603e-22 2.760225e+01
28000 3.274946e-23 1.334625e-24 3.408408e-23 4.744067e+00
29000 1.094377e-21 1.542305e-21 2.636683e-21 1.585309e+02
30000 6.999914e-22 2.213864e-21 2.913855e-21 1.014003e+02
31000 8.623383e-22 6.560346e-21 7.422685e-21 1.249178e+02
32000 3.284550e-21 1.960244e-21 5.244794e-21 4.757980e+02
33000 5.320421e-22 2.926592e-23 5.613080e-22 7.707130e+01
34000 2.338537e-22 1.123843e-23 2.450921e-22 3.387590e+01
35000 8.269041e-22 2.753911e-21 3.580816e-21 1.197848e+02
36000 3.333712e-24 1.331182e-22 1.364519e-22 4.829196e-01
37000 6.746842e-21 1.210155e-22 6.867858e-21 9.773436e+02
38000 2.479912e-22 4.754716e-22 7.234628e-22 3.592385e+01
39000 1.966307e-22 8.839179e-21 9.035810e-21 2.848381e+01
40000 5.027066e-24 8.004426e-21 8.009453e-21 7.282179e-01
41000 1.094786e-21 9.334667e-21 1.042945e-20 1.585901e+02
42000 9.350919e-22 6.174593e-21 7.109684e-21 1.354569e+02
43000 4.073485e-22 3.139072e-22 7.212557e-22 5.900826e+01
44000 5.744418e-22 2.203921e-21 2.778362e-21 8.321331e+01
45000 6.409880e-21 9.146204e-24 6.419026e-21 9.285314e+02
46000 2.839546e-21 2.030353e-28 2.839546e-21 4.113350e+02
47000 2.382704e-21 2.738815e-21 5.121519e-21 3.451570e+02
48000 2.448073e-21 9.370621e-22 3.385136e-21 3.546265e+02
49000 4.726974e-24 4.873459e-22 4.920728e-22 6.847467e-01
50000 2.053469e-22 4.058102e-24 2.094050e-22 2.974644e+01
51000 6.317886e-21 4.385318e-21 1.070320e-20 9.152052e+02
52000 3.787598e-21 3.392973e-22 4.126895e-21 5.486692e+02
53000 5.228120e-21 5.398937e-22 5.768013e-21 7.573423e+02
54000 4.908508e-21 4.634974e-29 4.908508e-21 7.110436e+02
55000 1.881146e-22 7.760398e-22 9.641544e-22 2.725017e+01
56000 5.452454e-21 2.177952e-21 7.630406e-21 7.898393e+02
57000 3.336011e-23 5.607414e-23 8.943424e-23 4.832525e+00
58000 5.476307e-22 2.027941e-21 2.575572e-21 7.932946e+01
59000 4.026533e-22 8.396893e-26 4.027373e-22 5.832812e+01
60000 1.301970e-22 2.083956e-22 3.385926e-22 1.886026e+01
61000 2.263947e-22 4.032516e-21 4.258911e-21 3.279540e+01
62000 2.126137e-21 8.787339e-23 2.214011e-21 3.079910e+02
63000 1.618327e-21 6.723585e-21 8.341912e-21 2.344299e+02
64000 1.495020e-24 5.431444e-22 5.446394e-22 2.165677e-01
65000 5.685560e-21 2.970269e-21 8.655829e-21 8.236069e+02
66000 7.083528e-21 5.088650e-22 7.592393e-21 1.026116e+03
67000 3.753032e-21 7.509139e-22 4.503946e-21 5.436621e+02
68000 6.873379e-22 1.091508e-20 1.160242e-20 9.956736e+01
69000 4.827317e-22 5.386378e-23 5.365954e-22 6.992822e+01
70000 1.324914e-22 4.516982e-21 4.649473e-21 1.919262e+01
71000 2.557015e-22 9.284611e-21 9.540312e-21 3.704077e+01
72000 2.067163e-22 1.690637e-21 1.897354e-21 2.994480e+01
73000 4.607663e-22 3.290994e-21 3.751760e-21 6.674633e+01
74000 2.148955e-23 7.914671e-21 7.936160e-21 3.112964e+00
75000 3.067269e-21 3.033047e-23 3.097600e-21 4.443228e+02
76000 2.070856e-21 7.805313e-22 2.851388e-21 2.999830e+02
77000 1.739904e-23 1.289538e-21 1.306937e-21 2.520415e+00
78000 1.718763e-23 3.935500e-22 4.107376e-22 2.489789e+00
79000 1.257338e-21 3.155338e-21 4.412676e-21 1.821372e+02
80000 1.319033e-21 5.153901e-21 6.472934e-21 1.910743e+02
81000 2.217441e-22 1.064656e-21 1.286400e-21 3.212172e+01
82000 3.591411e-23 6.141262e-22 6.500403e-22 5.202496e+00
83000 5.332549e-22 3.228290e-21 3.761545e-21 7.724699e+01
84000 1.696122e-23 1.032024e-20 1.033720e-20 2.456992e+00
85000 7.654671e-22 1.728320e-22 9.382990e-22 1.108851e+02
86000 2.434351e-22 4.291945e-22 6.726296e-22 3.526387e+01
87000 2.443829e-22 1.681489e-23 2.611978e-22 3.540116e+01
88000 3.605826e-21 1.042578e-20 1.403160e-20 5.223379e+02
89000 5.345656e-22 1.504310e-21 2.038875e-21 7.743685e+01
90000 1.553654e-21 5.112645e-21 6.666299e-21 2.250614e+02
91000 5.782314e-23 8.666248e-23 1.444856e-22 8.376226e+00
92000 5.665276e-22 1.576555e-21 2.143083e-21 8.206686e+01
93000 7.422273e-21 5.991470e-21 1.341374e-20 1.075186e+03
94000 3.885440e-22 1.015180e-23 3.986958e-22 5.628426e+01
95000 2.234063e-21 2.283313e-21 4.517376e-21 3.236250e+02
96000 1.019640e-21 2.478635e-21 3.498275e-21 1.477044e+02
97000 1.119093e-23 5.915520e-23 7.034613e-23 1.621111e+00
98000 4.421735e-22 2.035244e-21 2.477417e-21 6.405300e+01
99000 3.319778e-21 5.670009e-22 3.886779e-21 4.809011e+02
100000 5.380572e-22 5.093805e-21 5.631862e-21 7.794265e+01
101000 4.306557e-21 7.801061e-27 4.306565e-21 6.238453e+02
102000 6.211598e-21 4.511186e-22 6.662717e-21 8.998085e+02
103000 2.710092e-22 3.994572e-22 6.704663e-22 3.925823e+01
104000 4.127806e-23 4.341501e-22 4.754282e-22 5.979516e+00
105000 1.863648e-22 6.994630e-21 7.180994e-21 2.699670e+01
106000 9.414391e-21 4.247797e-21 1.366219e-20 1.363763e+03
107000 1.122130e-22 2.338833e-22 3.460962e-22 1.625510e+01
108000 5.094903e-23 2.878084e-21 2.929033e-21 7.380447e+00
109000 3.029407e-21 2.610758e-23 3.055515e-21 4.388381e+02
110000 4.942105e-21 2.225672e-21 7.167776e-21 7.159104e+02
111000 6.568651e-22 1.911952e-21 2.568817e-21 9.515309e+01
112000 1.322297e-21 1.380033e-21 2.702330e-21 1.915472e+02
113000 1.577564e-21 3.174247e-21 4.751811e-21 2.285250e+02
114000 1.141336e-21 5.099071e-22 1.651243e-21 1.653332e+02
115000 2.275854e-22 5.812039e-23 2.857058e-22 3.296789e+01
116000 1.619287e-23 2.842285e-22 3.004213e-22 2.345689e+00
117000 1.475803e-22 8.591353e-22 1.006716e-21 2.137839e+01
118000 6.064878e-21 4.269507e-23 6.107573e-21 8.785546e+02
119000 1.413172e-20 2.092612e-23 1.415264e-20 2.047112e+03
120000 5.007330e-23 2.806089e-21 2.856162e-21 7.253589e+00
121000 5.994311e-22 2.829075e-21 3.428506e-21 8.683323e+01
122000 5.123718e-21 3.391841e-21 8.515559e-21 7.422187e+02
123000 5.911242e-22 2.680454e-26 5.911510e-22 8.562991e+01
124000 3.214773e-21 3.916872e-25 3.215165e-21 4.656901e+02
125000 1.381408e-22 4.588459e-23 1.840254e-22 2.001099e+01
126000 4.473218e-22 1.175292e-21 1.622614e-21 6.479877e+01
127000 1.758352e-21 5.064087e-23 1.808993e-21 2.547139e+02
128000 8.611779e-21 1.226104e-20 2.087282e-20 1.247497e+03
129000 2.509095e-22 2.345050e-21 2.595959e-21 3.634660e+01
130000 3.128840e-23 1.319593e-22 1.632477e-22 4.532419e+00
131000 1.440408e-21 4.578299e-21 6.018707e-21 2.086566e+02
132000 4.299976e-23 3.381004e-21 3.424004e-21 6.228920e+00
133000 2.387958e-21 1.197576e-20 1.436372e-20 3.459181e+02
134000 4.370986e-22 1.148889e-21 1.585987e-21 6.331785e+01
135000 3.241290e-21 2.535041e-22 3.494794e-21 4.695314e+02
136000 6.256794e-23 3.503113e-21 3.565681e-21 9.063555e+00
137000 4.096599e-23 1.342289e-21 1.383255e-21 5.934309e+00
138000 1.319476e-21 3.397741e-22 1.659250e-21 1.911385e+02
139000 1.172602e-22 4.011540e-22 5.184142e-22 1.698624e+01
140000 6.399130e-22 1.544054e-21 2.183967e-21 9.269742e+01
141000 3.210522e-22 9.953681e-22 1.316420e-21 4.650744e+01
142000 1.230609e-21 5.161777e-21 6.392386e-21 1.782652e+02
143000 6.691567e-21 2.479309e-21 9.170876e-21 9.693364e+02
144000 1.887411e-22 1.702399e-21 1.891140e-21 2.734093e+01
145000 1.597902e-20 5.250628e-24 1.598427e-20 2.314711e+03
