step K U E 
0 2.745977e-01 4.771520e+03 4.771795e+03
250 4.260985e+03 5.107484e+02 4.771734e+03
500 1.789180e+03 2.982589e+03 4.771769e+03
750 1.459730e+03 3.312044e+03 4.771774e+03
1000 4.455506e+03 3.162244e+02 4.771731e+03
1250 2.035071e+01 4.751444e+03 4.771795e+03
1500 4.078428e+03 6.933081e+02 4.771736e+03
1750 2.059451e+03 2.712315e+03 4.771765e+03
2000 1.212438e+03 3.559339e+03 4.771777e+03
2250 4.578539e+03 1.931899e+02 4.771729e+03
2500 7.196608e+01 4.699828e+03 4.771794e+03
2750 3.873304e+03 8.984350e+02 4.771739e+03
3000 2.334073e+03 2.437688e+03 4.771761e+03
3250 9.807916e+02 3.790989e+03 4.771781e+03
3500 4.672337e+03 9.939064e+01 4.771728e+03
3750 1.544325e+02 4.617360e+03 4.771793e+03
4000 3.648348e+03 1.123394e+03 4.771742e+03
4250 2.609385e+03 2.162372e+03 4.771757e+03
4500 7.678788e+02 4.003905e+03 4.771784e+03
4750 4.735649e+03 3.607728e+01 4.771727e+03
5000 2.666505e+02 4.505140e+03 4.771791e+03
5250 3.406560e+03 1.365186e+03 4.771746e+03
5500 2.881718e+03 1.890035e+03 4.771753e+03
5750 5.765386e+02 4.195248e+03 4.771787e+03
6000 4.767632e+03 4.093942e+00 4.771726e+03
6250 4.071239e+02 4.364665e+03 4.771789e+03
6500 3.151162e+03 1.620587e+03 4.771750e+03
6750 3.147439e+03 1.624310e+03 4.771750e+03
7000 4.093220e+02 4.362467e+03 4.771789e+03
7250 4.767859e+03 3.867074e+00 4.771726e+03
7500 5.739797e+02 4.197807e+03 4.771787e+03
7750 2.885561e+03 1.886192e+03 4.771753e+03
8000 3.403007e+03 1.368739e+03 4.771746e+03
8250 2.684585e+02 4.503332e+03 4.771791e+03
8500 4.736327e+03 3.539970e+01 4.771727e+03
8750 7.649932e+02 4.006791e+03 4.771784e+03
9000 2.613297e+03 2.158460e+03 4.771757e+03
9250 3.645012e+03 1.126730e+03 4.771742e+03
9500 1.558263e+02 4.615966e+03 4.771793e+03
9750 4.673456e+03 9.827139e+01 4.771728e+03
